NC_002696,Escherichia_coli
NC_004463,Shigella_flexneri
NC_003047,Salmonella_enterica
NC_003062,Yersinia_pestis
NC_002678,Buchnera_aphidicola
NC_004310,Haemophilius_influenzae
NC_004917,Pasteurella_multocida
NC_002163,Candidatus_Blochmannia
NC_005090,Vibrio_vulnificus
NC_002929,Vibrio_parahaemolyticus
NC_002928,Pseudomonas_putida
NC_002927,Pseudomonas_syringae
NC_003295,Pseudomonas_aeruginosa
NC_004757,Shewanella_oneidensis
NC_005085,Xylella_fastidosa
NC_003112,Xanthomonas_axonopodis
NC_007086,Xanthomonas_campestris
NC_003919,Neisseria_meningitidis
NC_002488,Chromobacterium_violaceum
NC_004347,Nitrosomonas_europaea
NC_002516,Ralstonia_solanacearum
NC_004578,Bordetella_bronchiseptica
NC_002947,Bordetella_parapertussis
NC_004603,Bordetella_pertussis
NC_004459,Wolinella_succinogenes
NC_005061,Camphylobacter_jejuni
NC_000907,Helicobacter_hepaticus
NC_002663,Brucella_suis
NC_011833,Mesorhizobium_loti
NC_003143,Agrobacterium_fabrum
NC_003198,Sinorhizobium_meliloti
NC_004741,Bradyrhizobium_japonicum
NC_000913,Caulobacter_crescentus
